team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.478,2.73,-4.5,1.854,4.5,2.0,222.0,1.892,222.0,1.961,2025-10-09 22:23:32
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.34,1.22,10.0,1.869,-10.0,1.99,231.0,1.892,231.0,1.961,2025-10-09 22:23:32
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.39,1.216,10.0,1.892,-10.0,1.961,231.0,1.892,231.0,1.961,2025-10-09 22:43:06
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.495,2.68,-4.5,1.877,4.5,1.98,233.5,1.892,233.5,1.961,2025-10-09 22:43:06
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.478,2.73,-4.5,1.854,4.5,2.0,222.0,1.892,222.0,1.961,2025-10-09 22:43:06
Guangzhou Loong Lions,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/guangzhou-loong-lions-vs-los-angeles-clippers/1617087795/,,,34.0,1.84,-34.0,1.98,213.0,1.806,213.0,2.02,2025-10-09 22:43:06
Guangzhou Loong Lions,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/guangzhou-loong-lions-vs-los-angeles-clippers/1617087795/,,,34.0,1.854,-34.0,1.97,213.0,1.819,213.0,2.01,2025-10-09 23:23:19
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.502,2.66,-4.5,1.884,4.5,1.97,233.5,1.909,233.5,1.943,2025-10-09 23:23:19
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.53,1.206,10.0,1.961,-10.0,1.892,231.0,1.892,231.0,1.961,2025-10-09 23:23:19
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.442,2.86,-5.0,1.869,5.0,1.99,222.5,1.9,222.5,1.952,2025-10-09 23:23:19
